# Snapshot of LLE THROUGH-PORT spectrum
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, P_in_W=0.00943581514737261, kappa_ex=1516139.3812852972
# columns: mu, f_Hz, f_THz, lambda_m, lambda_nm, P_through_dBm, P_through_W
-1.570000000000000000e+02,1.875144615582743125e+14,1.875144615582743199e+02,1.598769798919390496e-06,1.598769798919390496e+03,-1.164957687889212110e+02,2.240903325534994797e-15
-1.560000000000000000e+02,1.875496615582743125e+14,1.875496615582742947e+02,1.598469736010962024e-06,1.598469736010961924e+03,-1.232072292589833751e+02,4.778340281856325203e-16
-1.550000000000000000e+02,1.875848615582743125e+14,1.875848615582742980e+02,1.598169785715185477e-06,1.598169785715185526e+03,-1.132870062796652491e+02,4.691366604876611274e-15
-1.540000000000000000e+02,1.876200615582743125e+14,1.876200615582743012e+02,1.597869947968678228e-06,1.597869947968678161e+03,-1.374194490175166550e+02,1.811569909026460359e-17
-1.530000000000000000e+02,1.876552615582743125e+14,1.876552615582743044e+02,1.597570222708105081e-06,1.597570222708105121e+03,-1.225383960816838851e+02,5.573915644582442369e-16
-1.520000000000000000e+02,1.876904615582743125e+14,1.876904615582743077e+02,1.597270609870177852e-06,1.597270609870177850e+03,-1.131839847857613961e+02,4.803983658620850008e-15
-1.510000000000000000e+02,1.877256615582743125e+14,1.877256615582743109e+02,1.596971109391656638e-06,1.596971109391656682e+03,-1.172199542141745496e+02,1.896725917482710440e-15
-1.500000000000000000e+02,1.877608615582743125e+14,1.877608615582743141e+02,1.596671721209348334e-06,1.596671721209348334e+03,-1.103864289660084239e+02,9.148651902116621608e-15
-1.490000000000000000e+02,1.877960615582743125e+14,1.877960615582743173e+02,1.596372445260107270e-06,1.596372445260107270e+03,-1.185129839420361009e+02,1.408320839599027151e-15
-1.480000000000000000e+02,1.878312615582743125e+14,1.878312615582743206e+02,1.596073281480835631e-06,1.596073281480835703e+03,-1.178569189497489589e+02,1.637978153333352445e-15
-1.470000000000000000e+02,1.878664615582743125e+14,1.878664615582742954e+02,1.595774229808482191e-06,1.595774229808482232e+03,-1.114081533779561255e+02,7.230771909859979757e-15
-1.460000000000000000e+02,1.879016615582743125e+14,1.879016615582742986e+02,1.595475290180043369e-06,1.595475290180043430e+03,-1.095973904576567577e+02,1.097137234240220472e-14
-1.450000000000000000e+02,1.879368615582743125e+14,1.879368615582743018e+02,1.595176462532562805e-06,1.595176462532562709e+03,-1.089835819407569062e+02,1.263693657965362343e-14
-1.440000000000000000e+02,1.879720615582743125e+14,1.879720615582743051e+02,1.594877746803131151e-06,1.594877746803131231e+03,-1.104518908443348835e+02,9.011786942990478023e-15
-1.430000000000000000e+02,1.880072615582743125e+14,1.880072615582743083e+02,1.594579142928886280e-06,1.594579142928886313e+03,-1.133774499847347670e+02,4.594677159602547880e-15
-1.420000000000000000e+02,1.880424615582743125e+14,1.880424615582743115e+02,1.594280650847013077e-06,1.594280650847013021e+03,-1.119627218864806508e+02,6.363965423006476690e-15
-1.410000000000000000e+02,1.880776615582743125e+14,1.880776615582743148e+02,1.593982270494743434e-06,1.593982270494743489e+03,-1.038455839961239064e+02,4.125167622261961666e-14
-1.400000000000000000e+02,1.881128615582743125e+14,1.881128615582743180e+02,1.593684001809356044e-06,1.593684001809356005e+03,-1.095686883823978519e+02,1.104412114272805996e-14
-1.390000000000000000e+02,1.881480615582743125e+14,1.881480615582743212e+02,1.593385844728177246e-06,1.593385844728177290e+03,-1.049745119362645482e+02,3.180891139424374444e-14
-1.380000000000000000e+02,1.881832615582743125e+14,1.881832615582742960e+02,1.593087799188579329e-06,1.593087799188579311e+03,-1.095213557129674911e+02,1.116514657194143030e-14
