# Snapshot of intracavity temporal pulse
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, S=3.4641016151377544
# columns: tau_ps, |E(tau)|^2_norm
-1.139699341754136785e+00,8.679507615843155832e-02
-1.084104251912470840e+00,8.649784904551469089e-02
-1.028509162070806671e+00,8.616529730759930894e-02
-9.729140722291409471e-01,8.579748103803155890e-02
-9.173189823874767779e-01,8.539292040434517950e-02
-8.617238925458109433e-01,8.494776618153176972e-02
-8.061288027041451087e-01,8.445495585065247723e-02
-7.505337128624809395e-01,8.390340609164199936e-02
-6.949386230208152160e-01,8.327730570088856532e-02
-6.393435331791493814e-01,8.255559784736056506e-02
-5.837484433374852122e-01,8.171178586572958036e-02
-5.281533534958193776e-01,8.071427605958843288e-02
-4.725582636541552084e-01,7.952760585446340402e-02
-4.169631738124894293e-01,7.811512937364581410e-02
-3.613680839708236503e-01,7.644409901738731528e-02
-3.057729941291594256e-01,7.449467431678895302e-02
-2.501779042874936465e-01,7.227534262635415541e-02
-1.945828144458278675e-01,6.984875987861062507e-02
-1.389877246041636705e-01,6.737444945926863993e-02
-8.339263476249789142e-02,6.517866010856293579e-02
-2.779754492083370485e-02,6.386781449038141101e-02
2.779754492083208808e-02,6.451167964848525394e-02
8.339263476249789142e-02,6.893766926481996460e-02
1.389877246041620606e-01,8.020156326781115175e-02
1.945828144458278675e-01,1.033367222247909972e-01
2.501779042874920367e-01,1.465391810771333736e-01
3.057729941291578157e-01,2.230253938853411222e-01
3.613680839708219850e-01,3.539032868221058115e-01
4.169631738124894293e-01,5.725052858446723070e-01
4.725582636541535986e-01,9.306619153800506083e-01
5.281533534958178233e-01,1.507104513080627317e+00
5.837484433374852122e-01,2.416974507753768986e+00
6.393435331791493814e-01,3.818021837229546911e+00
6.949386230208135506e-01,5.901521542070439885e+00
7.505337128624809395e-01,8.843360453684695699e+00
8.061288027041451087e-01,1.268119091075559268e+01
8.617238925458092780e-01,1.710976001590578477e+01
9.173189823874734472e-01,2.130173995823984967e+01
9.729140722291409471e-01,2.402787997940504994e+01
1.028509162070805116e+00,2.426606897941202234e+01
1.084104251912469286e+00,2.191912435663255110e+01
1.139699341754136785e+00,1.789054516180411625e+01
1.195294431595800955e+00,1.342928057723835700e+01
1.250889521437465124e+00,9.454425378037473848e+00
1.306484611279132402e+00,6.353279815583604773e+00
1.362079701120796571e+00,4.131491570913270905e+00
1.417674790962460740e+00,2.625880968501495438e+00
1.473269880804128240e+00,1.642766324138871026e+00
1.528864970645792409e+00,1.017264281817576999e+00
1.584460060487456579e+00,6.271220201327464272e-01
1.640055150329124078e+00,3.880131759957959336e-01
1.695650240170788248e+00,2.441356558577325864e-01
1.751245330012452417e+00,1.594835683060898124e-01
1.806840419854116586e+00,1.112003313826964990e-01
1.862435509695783864e+00,8.494291494727522485e-02
1.918030599537448033e+00,7.179451711522913393e-02
1.973625689379112202e+00,6.626160243546624917e-02
2.029220779220779924e+00,6.499451398300702676e-02
2.084815869062444094e+00,6.597813207735005181e-02
2.140410958904108263e+00,6.802311922869951066e-02
2.196006048745775541e+00,7.044755798269713987e-02
2.251601138587439710e+00,7.287844994825465328e-02
2.307196228429103879e+00,7.512836082571552887e-02
2.362791318270771157e+00,7.711903472265446702e-02
2.418386408112435326e+00,7.883429513174697312e-02
2.473981497954099495e+00,8.029117425406497033e-02
2.529576587795763665e+00,8.152237299424601458e-02
2.585171677637431387e+00,8.256576474266073828e-02
